source_id,target_id,relationship_type
AN0547,DC0061,monitors_data_component
AN0246,DC0085,monitors_data_component
M1052,T1550.002,mitigates
AN1278,DC0002,monitors_data_component
DET0301,T1091,detects
S1183,T1480,uses
G1015,T1621,uses
AN0747,DC0039,monitors_data_component
G0096,T1136.001,uses
G0001,T1546.008,uses
M1017,T1547.007,mitigates
DET0284,T1567.003,detects
M1047,T1560,mitigates
DET0496,AN1366,has_analytic
AN1492,DC0032,monitors_data_component
G1008,T1574.001,uses
AN0925,DC0082,monitors_data_component
OA-SYSTEM-CONFIGURATION-DATABASE-RECORD,T1548.002,may-modify
C0014,T1588.002,uses
S0562,T1195.002,uses
AN1191,DC0082,monitors_data_component
AN0152,DC0071,monitors_data_component
AN2039,DC0041,monitors_data_component
DET0140,AN0394,has_analytic
D3-DPR,D3-TAC-DECEIVE,belongs_to_tactic
S1180,T1135,uses
DET0421,AN1185,has_analytic
C0063,T1529,uses
G0038,T1573.001,uses
DA-NETWORK-TRAFFIC,OA-OUTBOUND-INTERNET-ENCRYPTED-TRAFFIC,targets
S0553,T1059.001,uses
S0241,T1055.001,uses
S0238,T1012,uses
S0262,T1005,uses
S0363,T1083,uses
S0683,T1550.001,uses
DET0106,T1055.002,detects
S0018,T1547.001,uses
DET0287,AN0798,has_analytic
G0004,T1007,uses
S0198,T1113,uses
G0093,T1583.004,uses
S0223,T1113,uses
S1058,T1484.001,uses
M1054,T1213,mitigates
S0631,T1566.001,uses
M1040,T1569,mitigates
DET0534,AN1474,has_analytic
AN0399,DC0064,monitors_data_component
S0603,T1518.001,uses
G0093,T1041,uses
DET0384,T1059.004,detects
DA-DIGITAL-CAMERA,OA-DIGITAL-CAMERA,targets
G1017,T1090,uses
S0198,T1082,uses
OA-EMAIL-RULE,T1564.008,may-modify
AN0614,DC0032,monitors_data_component
AN1481,DC0078,monitors_data_component
C0055,T1584.005,uses
AN1363,DC0038,monitors_data_component
T1552.006,TA0006,belongs_to_tactic
S0379,T1053.005,uses
S0692,T1069.001,uses
DET0096,AN0265,has_analytic
G1055,T1071.001,uses
S0021,T1055.001,uses
S0236,T1543.003,uses
S0414,T1105,uses
T1056,TA0009,belongs_to_tactic
G1036,T1583.003,uses
M1040,T1006,mitigates
G0126,T1204.002,uses
S0187,T1027.002,uses
DET0396,T1555.001,detects
G0007,T1133,uses
D3-HR,DA-PROCESS,terminates
DET0564,T1574.008,detects
S0669,T1566.001,uses
