source_id,target_id,relationship_type
S0264,T1082,uses
G1035,T1020,uses
G1031,S1017,uses
T1560.002,Collection,belongs_to_tactic
M1024,T1547.003,mitigates
S0516,T1087.002,uses
G1044,S1192,uses
T1078.004,Initial Access,belongs_to_tactic
G0088,S0002,uses
C0039,S1154,uses
S0582,T1057,uses
S0069,T1059.003,uses
S0366,T1047,uses
M1029,T1070.009,mitigates
G0032,T1134.002,uses
S1160,T1027.002,uses
G0064,T1571,uses
S0187,T1071.001,uses
S0376,T1082,uses
G0064,S0129,uses
G1031,T1204.002,uses
G0128,T1583.001,uses
DET0556,T1127.001,detects
T1573.001,Command and Control,belongs_to_tactic
S1060,T1074.001,uses
G1054,S0097,uses
G0020,T1120,uses
S0476,T1564.004,uses
G1016,S0363,uses
S0458,T1120,uses
S1059,T1056,uses
M1042,T1210,mitigates
S1149,T1140,uses
S0208,T1057,uses
M1052,D3-D3-SCF-SYSTEM-CALL-FILTERING,mapped_to_d3fend_technique
G0135,S0590,uses
S0389,T1059.003,uses
T1547.005,Privilege Escalation,belongs_to_tactic
S1147,T1140,uses
OA-SYSTEM-CONFIGURATION-DATABASE,T1543.003,modifies
G1014,S0013,uses
G0093,T1041,uses
S0234,T1055.012,uses
OA-AUTHENTICATION-SERVICE,T1550,accesses
S0579,T1049,uses
S0194,T1005,uses
S0239,T1106,uses
M1041,T1669,mitigates
S1138,T1547.001,uses
S0468,T1027.013,uses
C0034,S0693,uses
G0049,S0095,uses
S1058,T1083,uses
S0250,T1059.001,uses
S0236,T1016,uses
S0414,T1132.001,uses
G0081,T1036.005,uses
D3-NETWORK-TRAFFIC-POLICY-MAPPING,DA-ACCESS-CONTROL-CONFIGURATION,maps
M1045,T1204.003,mitigates
S0062,T1047,uses
S0070,T1574.001,uses
C0058,S0357,uses
S0182,T1574.013,uses
G0114,T1007,uses
T1555.006,Credential Access,belongs_to_tactic
G1023,T1021.001,uses
S0692,T1548.002,uses
D3-EMH,D3-TAC-HARDEN,belongs_to_tactic
G0027,T1046,uses
G0114,T1071.001,uses
M1026,T1542.005,mitigates
S0148,T1036,uses
G1043,T1003,uses
G0099,T1593,uses
G1052,T1589,uses
S0223,T1685,uses
S0147,T1083,uses
D3-HARDWARE-COMPONENT-INVENTORY,DA-HARDWARE-DEVICE,inventories
S0233,T1018,uses
S1159,T1685.005,uses
C0010,T1189,uses
S0678,T1027.002,uses
S0018,T1087.002,uses
