source_id,target_id,relationship_type
CM1151,ZIG-ACT-4.5.1,implements_activity
CM1117,ZIG-ACT-3.4.1,implements_activity
ZIG-ACT-2.7.1,T1070,mitigates
ZIG-ACT-6.4.2,T1585,mitigates
ZIG-ACT-1.6.2,T1534,mitigates
CM1145,ZIG-ACT-1.6.1,implements_activity
ZIG-ACT-2.7.2,T1485,mitigates
ZIG-ACT-5.4.1,T1219,mitigates
M1018,ZIG-ACT-3.4.6,implements_activity
M1054,ZIG-ACT-6.1.2,implements_activity
ZIG-ACT-6.7.4,T1496,mitigates
ZIG-ACT-6.7.4,T1003,mitigates
CREF-APP-4,T1102,mitigates_architecturally
CM2034,ZIG-ACT-2.7.1,implements_activity
CM1134,CREF-APP-46,implements_approach
CM2015,ZIG-ACT-4.5.1,implements_activity
ZIG-ACT-4.4.1,T1021,mitigates
ZIG-ACT-7.6.1,T1189,mitigates
CM2003,T1203,mitigates
ZIG-ACT-2.3.1,T1590,mitigates
ZIG-ACT-4.5.3,T1614,mitigates
ZIG-ACT-3.2.1,T1134,mitigates
ZIG-ACT-4.4.1,T1571,mitigates
ZIG-ACT-2.1.4,T1195,mitigates
CM1110,ZIG-ACT-4.3.4,implements_activity
